,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
2597,USHL,118436/michael-brodzinski,D,2013,18.297222,61,16,17,33,0.540984,2,1,64,0,0,DY,R,Yes,0.0,0,0
2605,USHL,118439/andrew-oglevie,F,2015,20.580556,50,21,32,53,1.06,4,4,211,0,1,DY+2,R,No,0.0,0,0
2619,USHL,118536/alex-talcott,F,2014,19.552778,57,9,11,20,0.350877,3,2,113,0,0,DY+1,R,No,0.0,0,0
2621,USHL,118541/reed-whiteside,D,2013,18.211111,10,0,1,1,0.1,1,0,10,1,0,DY,L,No,0.0,0,0
2624,USHL,118544/ryan-siroky,F,2015,20.616667,59,14,19,33,0.559322,3,3,177,0,1,DY+2,R,No,0.0,0,0
2625,USHL,118545/tyler-moy,F,2013,18.158333,64,4,19,23,0.359375,1,1,64,1,0,DY,R,Yes,0.0,0,0
2626,USHL,118547/jacob-pritchard,F,2014,19.433332999999998,49,14,22,36,0.734694,1,1,49,1,0,DY+1,L,No,0.0,0,0
2627,USHL,118548/jacob-kauppila,F,2015,20.655556,60,9,10,19,0.31666700000000003,1,1,60,1,0,DY+2,L,No,0.0,0,0
2631,USHL,118549/tyler-sheehy,F,2015,19.819444,56,17,36,53,0.9464290000000001,4,2,118,0,0,DY+1,R,No,0.0,0,0
2637,USHL,118640/biagio-lerario,F,2016,20.980556,51,16,24,40,0.7843140000000001,4,4,176,0,1,DY+2,L,No,0.0,0,0
2639,USHL,118642/luke-stork,F,2014,19.422222,60,16,11,27,0.45,2,2,124,0,0,DY+1,L,No,0.0,0,0
2646,USHL,118646/drew-melanson,F,2014,19.680556,59,17,27,44,0.7457630000000001,2,2,120,0,0,DY+1,L,No,0.0,0,0
2649,USHL,118647/alexander-robert,D,2016,21.686111,55,2,8,10,0.181818,3,3,148,0,1,DY+3,R,No,0.0,0,0
2654,USHL,118650/kyle-eastman,F,2015,20.625,35,2,6,8,0.228571,3,3,136,0,1,DY+2,R,No,0.0,0,0
2655,USHL,118652/mike-sabatini,F,2012,17.686111,9,0,1,1,0.11111099999999999,1,0,9,1,0,DY-1,L,No,0.0,0,0
