LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
WHL,105742/lenny-thunderchild,D,2006,18.261111,60,0,5,5,0.08,2,2,103,0,0,DY,R,No,0.0,0,0
WHL,105833/tomas-andrlik,D,2015,19.941667000000002,62,4,14,18,0.290323,2,2,133,0,0,DY+1,L,No,0.0,0,0
WHL,10586/sebastian-owuya,D,2011,19.936111,66,0,10,10,0.151515,1,1,66,1,0,DY+1,L,Yes,0.0,0,0
WHL,10604/lukas-vantuch,F,2007,20.152778,58,6,15,21,0.36206900000000003,2,2,126,0,0,DY+2,L,Yes,0.0,0,0
WHL,10616/juraj-simek,F,2007,19.961111,58,28,29,57,0.982759,1,1,58,1,0,DY+1,L,Yes,0.0,0,0
WHL,10623/riley-armstrong,F,2004,19.852778,69,18,26,44,0.637681,2,2,134,0,0,DY+1,R,No,0.0,0,0
WHL,10633/craig-valette,F,2003,20.938889,71,30,26,56,0.788732,4,4,248,0,1,DY+2,L,No,0.0,0,0
WHL,10637/ashton-rome,F,2006,20.708333,65,30,34,64,0.984615,4,4,270,0,1,DY+2,R,Yes,0.0,0,0
WHL,10638/brennan-evans,D,2003,21.691667000000002,67,6,17,23,0.34328400000000003,4,4,257,0,1,DY+3,L,No,0.0,0,0
WHL,10656/keith-seabrook,D,2009,21.119444,64,15,40,55,0.859375,2,2,123,0,0,DY+3,R,Yes,0.0,0,0
WHL,10658/sebastian-svendsen,F,2012,21.125,11,2,2,4,0.36,3,0,149,0,0,DY+3,L,No,0.0,0,0
WHL,10659/mark-mieritz,F,2011,20.7,31,1,5,6,0.19,1,1,31,1,0,DY+2,R,No,0.0,0,0
WHL,10667/dustin-byfuglien,D,2005,20.466667,64,22,36,58,0.90625,3,3,186,0,1,DY+2,R,Yes,0.604143,869,1
WHL,10669/troy-brouwer,F,2006,21.077778,72,49,53,102,1.416667,4,4,274,0,1,DY+3,R,Yes,0.43198100000000006,838,1
WHL,10689/nathan-barrett,F,2002,21.116667,72,45,62,107,1.486111,5,5,316,0,1,DY+3,L,Yes,0.0,0,0
WHL,107378/dan-mercer,D,2008,21.363889,40,2,12,14,0.35,5,5,249,0,1,DY+3,R,No,0.0,0,0
WHL,107434/travis-mcevoy,F,2014,20.413889,59,9,8,17,0.288136,3,3,188,0,1,DY+2,R,No,0.0,0,0
WHL,107473/trace-elson,F,2014,19.805556,15,2,1,3,0.2,1,0,15,1,0,DY+1,R,No,0.0,0,0
WHL,107630/darian-henry,D,2013,19.111110999999998,63,1,6,7,0.11,1,1,63,1,0,DY+1,R,No,0.0,0,0
WHL,107882/dylan-stewart,F,2017,20.352778,19,2,4,6,0.32,3,0,142,0,0,DY+2,L,No,0.0,0,0
WHL,107894/nick-merkley,F,2017,20.311111,63,23,40,63,1.0,4,4,244,0,1,DY+2,R,Yes,0.0,1,1
WHL,107895/matt-sozanski,D,2017,21.697222,63,3,33,36,0.571429,3,3,158,0,1,DY+3,L,No,0.0,0,0
WHL,107898/carsen-twarynski,F,2018,20.808332999999998,68,45,27,72,1.058824,4,4,257,0,1,DY+2,L,Yes,0.0,0,0
WHL,107899/braylon-shmyr,F,2018,21.330556,72,37,51,88,1.222222,6,5,300,0,1,DY+3,L,No,0.0,0,0
WHL,107909/hudson-elynuik,F,2018,20.763889000000002,71,31,55,86,1.211268,5,5,276,0,1,DY+2,L,Yes,0.0,0,0
WHL,107924/mark-rassell,F,2018,21.541667,70,50,30,80,1.142857,4,4,274,0,1,DY+3,L,No,0.0,0,0
