,LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
14689,WHL,23319/jordan-peddle,F,2012,21.527778,70,10,15,25,0.357143,4,4,264,0,1,DY+3,L,No,0.0,0,0
14690,OHL,233198/matthew-macdougall,D,2008,18.6,11,0,1,1,0.09,1,0,11,1,0,DY,R,No,0.0,0,0
14695,WHL,23320/justin-dowling,F,2011,20.955556,63,20,47,67,1.063492,5,4,280,0,1,DY+2,L,No,0.0,0,0
14699,WHL,23321/jeremy-boyer,F,2010,19.963889,65,10,22,32,0.49230799999999997,4,4,264,0,1,DY+1,R,No,0.0,0,0
14704,WHL,23322/lindsay-nielsen,F,2010,21.444444,68,11,23,34,0.5,5,5,281,0,1,DY+3,L,No,0.0,0,0
14708,WHL,23323/walker-wintoneak,F,2010,21.305556,70,25,49,74,1.057143,4,4,267,0,1,DY+3,R,No,0.0,0,0
14712,WHL,23324/jordan-weal,F,2012,20.416667,70,41,75,116,1.657143,4,4,279,0,1,DY+2,R,Yes,0.319527,169,1
14713,WHL,23325/koltyn-miller,D,2009,18.513889000000002,38,1,6,7,0.18,1,1,38,1,0,DY,L,No,0.0,0,0
14717,USHL,23326/cass-mappin,F,2011,20.736110999999998,14,2,6,8,0.571429,4,0,190,0,1,DY+2,R,No,0.0,0,0
14718,OHL,233263/michael-mazzulla,F,2006,17.483333,3,1,0,1,0.33,1,0,3,1,0,DY-1,L,No,0.0,0,0
14723,WHL,23327/cody-gross,F,2010,21.302778,16,1,2,3,0.19,5,0,208,0,1,DY+3,L,No,0.0,0,0
14724,OHL,233284/austin-verge,D,2007,18.091667,29,0,4,4,0.14,1,1,29,1,0,DY,L,No,0.0,0,0
14727,WHL,23331/dallas-jackson,D,2010,21.458333,48,14,31,45,0.9375,3,3,174,0,1,DY+3,L,No,0.0,0,0
14728,WHL,23332/brian-matte,F,2009,21.4,48,17,13,30,0.625,1,1,48,1,0,DY+3,L,No,0.0,0,0
14733,WHL,23333/art-bidlevskii,D,2012,21.427778,69,0,11,11,0.15942,5,5,316,0,1,DY+3,R,No,0.0,0,0
14738,WHL,23334/jordan-hickmott,F,2011,21.427778,72,28,38,66,0.916667,5,5,300,0,1,DY+3,R,No,0.0,0,0
14739,WHL,23335/ty-ariss,D,2008,18.644444,32,1,1,2,0.06,1,1,32,1,0,DY,L,No,0.0,0,0
14741,WHL,23336/jordan-mistelbacher,F,2009,19.677778,26,4,2,6,0.23,2,2,93,0,0,DY+1,L,No,0.0,0,0
14745,WHL,23337/mark-isherwood,D,2010,21.625,69,17,30,47,0.6811590000000001,4,4,256,0,1,DY+3,R,No,0.0,0,0
14749,WHL,23339/colton-grant,F,2010,21.486110999999998,67,7,13,20,0.298507,4,4,277,0,1,DY+3,L,No,0.0,0,0
14753,WHL,23341/adam-chorneyko,F,2009,21.108333,67,21,37,58,0.8656719999999999,4,4,246,0,1,DY+3,L,No,0.0,0,0
14755,USHL,233427/noah-lalonde,F,2017,19.480556,48,4,10,14,0.291667,2,2,93,0,0,DY+1,L,No,0.0,0,0
14757,USHL,233429/nick-pastujov,F,2016,18.65,21,3,5,8,0.380952,2,2,49,0,0,DY,L,Yes,0.0,0,0
14761,OHL,233448/max-jones,F,2018,20.577778,31,19,5,24,0.7741939999999999,4,4,151,0,1,DY+2,L,Yes,0.166667,30,1
14765,WHL,23345/adrian-van-de-mosselaer,D,2011,21.072222,66,7,15,22,0.333333,4,4,218,0,1,DY+3,R,No,0.0,0,0
14768,WHL,23346/brandon-manning,D,2011,21.280556,53,21,32,53,1.0,3,3,194,0,1,DY+3,L,No,0.0,0,0
14771,USHL,233478/paul-washe,F,2017,18.8,53,14,12,26,0.490566,3,3,131,0,1,DY,L,No,0.0,0,0
14774,USHL,233479/wyatt-bongiovanni,F,2018,19.141667,36,17,18,35,0.9722219999999999,3,3,152,0,1,DY+1,L,No,0.0,0,0
14775,USHL,233485/alexander-frye,F,2016,18.133333,55,3,5,8,0.145455,1,1,55,1,0,DY,L,No,0.0,0,0
14777,USHL,233489/collin-adams,F,2017,19.391667,57,24,27,51,0.8947370000000001,2,2,116,0,0,DY+1,L,Yes,0.0,0,0
14779,USHL,233491/thomas-parrottino,F,2018,20.533333,56,14,16,30,0.535714,2,2,101,0,0,DY+2,L,No,0.0,0,0
14782,USHL,233494/ryan-bederka,D,2018,20.619444,20,2,2,4,0.2,3,3,109,0,1,DY+2,L,No,0.0,0,0
14785,OHL/USHL,233497/igor-larionov,F,2019,21.058332999999998,58,16,32,48,0.827586,3,3,115,0,1,DY+3,L,No,0.0,0,0
14787,USHL,233499/patrick-khodorenko,F,2016,17.922222,18,1,2,3,0.166667,2,0,53,0,0,DY-1,L,No,0.0,0,0
14789,OHL,233501/shaun-bily,F,2016,18.563889,7,2,1,3,0.43,2,0,43,0,0,DY,L,No,0.0,0,0
14793,OHL,233503/mitch-eliot,D,2019,21.608333,66,17,38,55,0.833333,4,3,195,0,1,DY+3,R,No,0.0,0,0
14797,OHL,233504/ben-gleason,D,2018,20.472222,63,9,39,48,0.761905,4,4,236,0,1,DY+2,L,No,0.0,0,0
14799,USHL,233505/mitch-lewandowski,F,2017,19.411111,55,15,19,34,0.618182,2,2,104,0,0,DY+1,L,No,0.0,0,0
14802,USHL,233511/cole-gallant,F,2018,20.502778,59,15,37,52,0.8813559999999999,3,3,166,0,1,DY+2,R,No,0.0,0,0
14806,OHL,233512/jack-kopacka,F,2018,20.527778,66,31,32,63,0.9545450000000001,4,3,202,0,1,DY+2,L,Yes,0.0,0,0
14808,USHL,233516/alec-mahalak,D,2017,19.002778,58,5,18,23,0.396552,2,1,59,0,0,DY+1,R,No,0.0,0,0
14810,USHL,233517/tommy-miller,D,2017,18.525,26,0,6,6,0.230769,2,2,46,0,0,DY,R,No,0.0,0,0
14815,OHL,233519/keeghan-howdeshell,F,2019,21.558332999999998,66,46,31,77,1.166667,5,5,233,0,1,DY+3,L,No,0.0,0,0
14818,USHL,233522/dalton-messina,F,2019,21.461111,56,9,16,25,0.446429,3,3,148,0,1,DY+3,L,No,0.0,0,0
14821,USHL,233525/keenan-suthers,F,2017,19.383333,59,11,14,25,0.423729,3,3,120,0,1,DY+1,L,No,0.0,0,0
14822,USHL,233548/michael-maloney,F,2018,20.577778,60,8,12,20,0.333333,1,1,60,1,0,DY+2,R,No,0.0,0,0
14826,OHL,23355/eric-regan,D,2008,20.319444,67,8,40,48,0.716418,4,4,252,0,1,DY+2,R,No,0.0,0,0
14829,USHL,233551/james-sanchez,F,2019,21.555556,45,16,24,40,0.8888889999999999,3,3,103,0,1,DY+3,L,No,0.0,0,0
14830,USHL,233562/ryan-carlson,D,2016,18.608333,4,0,1,1,0.25,1,0,4,1,0,DY,L,No,0.0,0,0
14832,USHL,233565/alex-green,D,2017,19.241667,43,1,14,15,0.348837,2,2,80,0,0,DY+1,R,Yes,0.0,0,0
14835,USHL,233567/william-knierim,F,2019,21.647222,60,18,29,47,0.783333,3,3,173,0,1,DY+3,R,No,0.0,0,0
14837,USHL,233569/hugh-mcging,F,2016,18.177778,60,23,28,51,0.85,2,2,114,0,0,DY,L,Yes,0.0,0,0
14840,USHL,233570/dominick-mersch,F,2018,19.747222,57,22,18,40,0.701754,3,3,170,0,1,DY+1,L,No,0.0,0,0
14842,WHL,233578/jake-toporowski,D,2017,19.572222,36,0,3,3,0.08,2,2,89,0,0,DY+1,R,No,0.0,0,0
14845,QMJHL,233596/guillaume-lajeunesse,F,2003,19.583333,31,5,6,11,0.35483899999999996,3,3,140,0,1,DY+1,L,No,0.0,0,0
14846,QMJHL,233606/patrick-turbide,D,2002,18.480556,50,0,3,3,0.06,1,1,50,1,0,DY,D,No,0.0,0,0
14849,QMJHL,233607/paul-andre-bourgoin,D,2003,19.625,64,1,0,1,0.02,3,2,118,0,0,DY+1,-,No,0.0,0,0
14850,QMJHL,233609/bernard-lahaie,F,2001,17.538889,12,0,1,1,0.08,1,0,12,1,0,DY-1,-,No,0.0,0,0
14851,QMJHL,233611/michel-finn,F,2001,18.705556,4,0,2,2,0.5,1,0,4,1,0,DY,-,No,0.0,0,0
14853,QMJHL,233613/laurent-lanoie,F,2003,20.652778,65,5,8,13,0.2,2,2,93,0,0,DY+2,-,No,0.0,0,0
14855,QMJHL,233614/sebastien-lapierre,F,2002,18.347222,37,5,6,11,0.297297,2,2,96,0,0,DY,R,No,0.0,0,0
14856,QMJHL,233615/mathieu-dery,F,2002,18.630556,37,2,1,3,0.08,1,1,37,1,0,DY,L,No,0.0,0,0
14857,QMJHL,233618/jerome-briere,F,2001,17.363889,10,2,0,2,0.2,1,0,10,1,0,DY-1,-,No,0.0,0,0
14858,QMJHL,233619/justin-roy,F,2003,20.533333,9,0,1,1,0.11,1,0,9,1,0,DY+2,R,No,0.0,0,0
14859,QMJHL,233624/sylvain-angers,F,2001,18.522222,35,1,0,1,0.03,1,1,35,1,0,DY,R,No,0.0,0,0
14861,QMJHL,233626/sebastien-bolduc,D,2002,19.441667000000002,53,0,5,5,0.09,2,2,116,0,0,DY+1,L,No,0.0,0,0
14862,QMJHL,233630/yannick-mcnamara,F,2001,18.594444,15,0,1,1,0.07,1,0,15,1,0,DY,R,No,0.0,0,0
14863,QMJHL,233645/hugo-beaudet,D,2001,18.658333,4,0,1,1,0.25,1,0,4,1,0,DY,-,No,0.0,0,0
14865,QMJHL,233660/mathieu-payette,F,2002,19.680556,71,4,11,15,0.21126799999999998,2,2,128,0,0,DY+1,R,No,0.0,0,0
14866,QMJHL,233666/charles-erick-gagnon,F,2001,18.7,24,0,3,3,0.13,1,1,24,1,0,DY,-,No,0.0,0,0
14867,QMJHL,233748/carle-rochon,F,2001,18.058332999999998,39,1,3,4,0.1,1,1,39,1,0,DY,-,No,0.0,0,0
14869,QMJHL,233808/alain-chenard,D,2001,18.563889,49,0,1,1,0.02,2,2,96,0,0,DY,L,No,0.0,0,0
14870,QMJHL,233816/daniel-robert,F,2000,17.761111,34,0,6,6,0.18,1,1,34,1,0,DY-1,R,No,0.0,0,0
14872,QMJHL,233828/ryan-macpherson,F,2002,20.569444,33,3,2,5,0.15,2,2,99,0,0,DY+2,R,No,0.0,0,0
14874,QMJHL,233830/luc-ratelle,F,2001,19.266667,11,1,3,4,0.36,2,0,64,0,0,DY+1,L,No,0.0,0,0
14875,QMJHL,233839/jules-saulnier,D,2001,19.666667,23,2,4,6,0.26,1,1,23,1,0,DY+1,R,No,0.0,0,0
14876,QMJHL,233851/guillaume-beaudoin,F,2000,18.602778,32,0,2,2,0.06,1,1,32,1,0,DY,L,No,0.0,0,0
14878,QMJHL,233872/bruno-cadieux,D,2001,19.619444,49,1,7,8,0.16,2,2,99,0,0,DY+1,R,No,0.0,0,0
14879,QMJHL,233904/louis-deault,F,2000,18.336111,54,6,4,10,0.185185,1,1,54,1,0,DY,R,No,0.0,0,0
