LEAGUE,PLAYER_ID,POSITION,SEASON,AGE_SEPT_15,GP,G,A,TP,PPG,SEASON_NO,SEASON_>20GP,CUM_GP,ONLY_1_SEASON,MIN_3_SEASONS,DY_STATUS,SHOOTS,DRAFTED,NHL_PPG,NHL_GP,NHL_DV
QMJHL,283542/kirk-forrest,F,2006,19.363889,21,0,1,1,0.05,1,1,21,1,0,DY+1,R,No,0.0,0,0
QMJHL,283579/olivier-lajeunesse,F,2006,19.466667,53,2,0,2,0.04,1,1,53,1,0,DY+1,R,No,0.0,0,0
QMJHL,28361/gregory-dupre,F,2001,21.138889000000002,4,1,3,4,1.0,1,0,4,1,0,DY+3,L,No,0.0,0,0
QMJHL,28367/mathieu-dumas,D,2004,21.319444,67,19,39,58,0.8656719999999999,5,5,344,0,1,DY+3,L,No,0.0,0,0
QMJHL,28369/pierre-luc-courchesne,D,2002,21.030556,63,9,41,50,0.793651,5,5,323,0,1,DY+3,L,No,0.0,0,0
QMJHL,283690/tyler-smith,D,2018,19.052778,55,0,4,4,0.07,1,1,55,1,0,DY+1,R,No,0.0,0,0
QMJHL,28371/frederic-belanger,D,2000,21.486110999999998,64,14,30,44,0.6875,5,5,315,0,1,DY+3,L,No,0.0,0,0
QMJHL,283718/jeremie-jacob,F,2019,18.377778,60,7,8,15,0.25,1,1,60,1,0,DY,R,No,0.0,0,0
QMJHL,28372/david-chicoine,F,2003,21.633333,57,13,35,48,0.8421049999999999,4,4,259,0,1,DY+3,L,No,0.0,0,0
QMJHL,28376/marc-andre-roy,F,2003,19.883333,68,2,3,5,0.07,2,2,126,0,0,DY+1,L,Yes,0.0,0,0
QMJHL,283797/derrick-rotondi,D,2006,18.908333,20,0,1,1,0.05,1,1,20,1,0,DY,L,No,0.0,0,0
QMJHL,283798/lukasz-steciuk,D,2006,19.458333,11,0,1,1,0.09,1,0,11,1,0,DY+1,L,No,0.0,0,0
QMJHL,283802/jason-caron,F,2006,18.711111,41,1,2,3,0.07,1,1,41,1,0,DY,L,No,0.0,0,0
QMJHL,283907/kelly-klima,F,2018,21.277778,58,18,18,36,0.62069,3,3,186,0,1,DY+3,R,No,0.0,0,0
QMJHL,283908/kevin-klima,F,2018,21.277778,68,39,47,86,1.2647059999999999,4,3,197,0,1,DY+3,L,No,0.0,0,0
QMJHL,283914/brendan-bornstein,D,2017,19.144444,2,0,1,1,0.5,1,0,2,1,0,DY+1,R,No,0.0,0,0
QMJHL,28403/didier-bochatay,D,2003,20.697222,66,4,26,30,0.454545,3,3,198,0,1,DY+2,L,No,0.0,0,0
QMJHL,28419/marek-hascak,F,2004,18.769444,61,16,14,30,0.491803,2,2,114,0,0,DY,L,No,0.0,0,0
QMJHL,28421/gabriel-bourque,F,2010,19.977778,55,16,36,52,0.9454549999999999,3,3,180,0,1,DY+1,L,Yes,0.268698,361,1
QMJHL,284433/ryan-chipman,F,2003,18.583333,13,0,1,1,0.08,1,0,13,1,0,DY,R,No,0.0,0,0
QMJHL,284465/daniel-gauthier,D,2003,20.511111,30,1,2,3,0.1,1,1,30,1,0,DY+2,-,No,0.0,0,0
QMJHL,284760/vincent-tougas,F,2003,21.488889,23,9,5,14,0.608696,4,4,219,0,1,DY+3,L,No,0.0,0,0
QMJHL,284773/dominic-fiset,F,2003,20.433332999999998,58,2,7,9,0.16,2,2,99,0,0,DY+2,L,No,0.0,0,0
QMJHL,284777/kevin-duchaine,F,2003,18.269444,65,3,5,8,0.12,1,1,65,1,0,DY,R,No,0.0,0,0
QMJHL,284791/remi-godbout,F,2003,19.216667,24,3,1,4,0.17,2,1,32,0,0,DY+1,R,No,0.0,0,0
QMJHL,284801/connor-mcguire,D,2002,19.983333,20,2,3,5,0.25,3,3,94,0,1,DY+1,R,No,0.0,0,0
QMJHL,284803/sylvain-watt,D,2002,21.397222,39,6,23,29,0.74359,4,4,245,0,1,DY+3,L,No,0.0,0,0
QMJHL,284810/bryan-riddell,D,2002,19.625,37,1,3,4,0.11,1,1,37,1,0,DY+1,L,No,0.0,0,0
QMJHL,284884/olivier-luc-hache,F,2019,18.930556,22,2,3,5,0.23,2,2,43,0,0,DY,R,No,0.0,0,0
QMJHL,284907/david-noel,D,2019,20.430556,37,13,14,27,0.72973,3,3,170,0,1,DY+2,L,Yes,0.0,0,0
QMJHL,284911/pierre-olivier-joseph,D,2019,20.205556,62,9,38,47,0.758065,4,4,235,0,1,DY+2,L,Yes,0.0,0,0
QMJHL,284912/samuel-gaumond,F,2018,19.622222,11,0,1,1,0.09,3,0,94,0,0,DY+1,R,No,0.0,0,0
QMJHL,284913/jason-imbeault,F,2019,20.647222,17,3,0,3,0.18,4,0,162,0,1,DY+2,R,No,0.0,0,0
QMJHL,284915/charles-antoine-giguere,F,2019,20.366667,65,14,17,31,0.47692299999999993,3,2,127,0,0,DY+2,L,No,0.0,0,0
QMJHL,284916/felix-bibeau,F,2019,20.458333,63,28,41,69,1.095238,3,3,179,0,1,DY+2,L,No,0.0,0,0
QMJHL,284917/nicolas-guay,F,2019,20.241667,64,40,47,87,1.359375,4,4,204,0,1,DY+2,R,No,0.0,0,0
QMJHL,284920/louis-tardif,D,2019,20.594444,53,0,6,6,0.11,3,3,181,0,1,DY+2,R,No,0.0,0,0
QMJHL,284922/mederik-racicot,D,2019,20.513889000000002,49,1,6,7,0.14,3,3,172,0,1,DY+2,L,No,0.0,0,0
QMJHL,284924/nicolas-beaudin,D,2019,19.938889,53,7,49,56,1.056604,4,4,211,0,1,DY+1,L,Yes,0.0,0,0
QMJHL,284926/carl-gervais,F,2017,18.45,27,1,2,3,0.11,2,2,82,0,0,DY,L,No,0.0,0,0
QMJHL,284928/samuel-naud,F,2019,19.913889,63,8,10,18,0.28571399999999997,3,3,183,0,1,DY+1,R,No,0.0,0,0
QMJHL,284929/william-poirier,F,2019,19.838889,62,16,15,31,0.5,4,4,255,0,1,DY+1,L,No,0.0,0,0
QMJHL,284930/isaiah-gallo-demetris,F,2019,20.516667,48,6,6,12,0.25,2,2,98,0,0,DY+2,R,No,0.0,0,0
QMJHL,284931/christopher-benoit,F,2019,20.291667,60,11,11,22,0.366667,3,3,189,0,1,DY+2,L,No,0.0,0,0
QMJHL,284934/jeff-hadley,D,2002,19.672222,38,2,3,5,0.13,2,2,93,0,0,DY+1,L,No,0.0,0,0
QMJHL,285017/patrick-vincent,F,2001,21.461111,45,14,17,31,0.6888890000000001,4,4,216,0,1,DY+3,L,No,0.0,0,0
QMJHL,285180/steve-waters,F,2001,20.027778,16,5,10,15,0.9375,3,0,107,0,0,DY+2,R,No,0.0,0,0
QMJHL,285351/joey-d-amico,F,2001,20.047222,71,10,14,24,0.338028,3,3,177,0,1,DY+2,R,No,0.0,0,0
QMJHL,285381/daniel-clermont,F,2001,20.625,31,5,10,15,0.483871,3,3,155,0,1,DY+2,R,No,0.0,0,0
QMJHL,285443/louis-alfred,F,2001,19.366667,40,0,2,2,0.05,2,2,71,0,0,DY+1,L,No,0.0,0,0
QMJHL,285445/yannick-guay,F,2000,19.491667,58,17,17,34,0.5862069999999999,1,1,58,1,0,DY+1,R,No,0.0,0,0
QMJHL,285446/francois-belanger,F,2002,21.430556,69,27,39,66,0.956522,3,3,200,0,1,DY+3,R,No,0.0,0,0
QMJHL,285447/jean-gravel,D,2001,20.180556,8,1,0,1,0.13,1,0,8,1,0,DY+2,R,No,0.0,0,0
QMJHL,285623/aleksi-anttalainen,D,2019,20.463889,54,7,15,22,0.407407,2,2,115,0,0,DY+2,L,No,0.0,0,0
QMJHL,285630/eric-dufour,F,2001,19.686111,28,5,7,12,0.428571,1,1,28,1,0,DY+1,R,No,0.0,0,0
QMJHL,285631/jean-michel-martin,F,2001,19.302778,41,3,6,9,0.22,3,2,80,0,0,DY+1,R,No,0.0,0,0
QMJHL,285660/simon-lagace-daigle,F,2001,19.511111,2,0,1,1,0.5,3,0,113,0,0,DY+1,R,No,0.0,0,0
QMJHL,285704/leon-martin,F,2000,18.752778,16,0,1,1,0.06,1,0,16,1,0,DY,L,No,0.0,0,0
QMJHL,285710/martin-senecal,F,2001,18.7,7,1,1,2,0.29,1,0,7,1,0,DY,L,No,0.0,0,0
QMJHL,285732/william-sirman,F,2019,19.866667,49,4,15,19,0.387755,2,2,115,0,0,DY+1,L,No,0.0,0,0
QMJHL,285752/olivier-dubuc,F,2001,20.997222,49,16,20,36,0.734694,4,4,236,0,1,DY+2,R,No,0.0,0,0
QMJHL,285753/david-comeau,F,2000,21.522222,60,23,40,63,1.05,4,4,260,0,1,DY+3,R,No,0.0,0,0
QMJHL,285754/martin-dube,F,2000,18.827778,2,0,1,1,0.5,1,0,2,1,0,DY,R,No,0.0,0,0
QMJHL,286070/patrick-lafreniere,F,2000,20.227778,41,4,3,7,0.17,1,1,41,1,0,DY+2,R,No,0.0,0,0
QMJHL,286087/philippe-gelinas,F,2000,19.125,48,8,9,17,0.354167,2,2,102,0,0,DY+1,L,No,0.0,0,0
QMJHL,286114/jean-francois-pilon,F,2000,19.975,31,3,6,9,0.29,2,2,97,0,0,DY+1,R,No,0.0,0,0
QMJHL,286145/francis-mongrain,F,2000,20.705556,20,2,0,2,0.1,2,2,59,0,0,DY+2,L,No,0.0,0,0
QMJHL,286146/andre-landry,F,2000,18.861110999999998,30,0,2,2,0.07,1,1,30,1,0,DY,R,No,0.0,0,0
QMJHL,286157/stephane-labrie,F,2000,18.644444,49,1,2,3,0.06,1,1,49,1,0,DY,R,No,0.0,0,0
QMJHL,286193/steve-fillion,F,2000,18.530556,12,2,3,5,0.42,1,0,12,1,0,DY,L,No,0.0,0,0
QMJHL,286273/francois-fortin,F,2000,20.433332999999998,72,17,39,56,0.777778,4,4,233,0,1,DY+2,L,No,0.0,0,0
QMJHL,286276/yannick-lachance,F,2000,20.063889,29,4,8,12,0.413793,3,3,141,0,1,DY+2,L,No,0.0,0,0
QMJHL,286278/shane-lomax,F,2000,19.805556,16,1,0,1,0.06,1,0,16,1,0,DY+1,R,No,0.0,0,0
QMJHL,28638/michel-beausoleil,F,2000,20.155556,58,21,27,48,0.827586,3,2,132,0,0,DY+2,R,No,0.0,0,0
QMJHL,286419/dominic-desbiens,D,2000,21.6,63,3,17,20,0.31745999999999996,3,3,156,0,1,DY+3,L,No,0.0,0,0
